I (f)	V (f)		I(f)     V (2f)		I (f)     V(3f)								
0.004	2.05995E-4	0.004	-9.53677E-7	0.004	-1.35601E-6			--	--				
0.104	0.00509647	0.104	3.72532E-7	0.104	-2.3097E-6			--	--				
0.204	0.00998694	0.204	-3.5763E-7	0.204	-5.58796E-6			--	--				
0.304	0.0148697	0.304	5.8115E-7	0.304	-4.90252E-6			--	--				
0.404	0.0197603	0.404	-7.59963E-7	0.404	-7.24201E-6			--	--				
0.504	0.0246469	0.504	-2.04147E-6	0.504	-9.32819E-6			--	--				
0.604	0.0295335	0.604	-4.32137E-7	0.604	-1.06395E-5			--	--				
0.704	0.0344546	0.704	-3.38258E-6	0.704	-1.45436E-5			--	--				
0.804	0.0393412	0.804	-3.71041E-6	0.804	-1.85371E-5			--	--				
0.904	0.0442202	0.904	-3.77002E-6	0.904	-2.2486E-5			--	--				
1.004	0.0491183	1.004	-6.89927E-6	1.004	-2.45274E-5			--	--				
1.104	0.0540011	1.104	-3.26337E-6	1.104	-3.13225E-5			--	--				
1.204	0.0588877	1.204	-5.52836E-6	1.204	-3.59567E-5			--	--				
1.304	0.0638395	1.304	-6.30322E-6	1.304	-4.22301E-5			--	--				
1.404	0.0687299	1.404	-8.06158E-6	1.404	-4.93379E-5			--	--				
1.504	0.0736279	1.504	-1.12504E-5	1.504	-5.54028E-5			--	--				
1.604	0.0785336	1.604	-1.32025E-5	1.604	-6.49099E-5			--	--				
1.704	0.0834393	1.704	-1.60785E-5	1.704	-7.24797E-5			--	--				
1.804	0.0883374	1.804	-1.76431E-5	1.804	-8.07647E-5			--	--				
1.904	0.0932736	1.904	-2.39463E-5	1.904	-9.29241E-5			--	--				
2.004	0.0981832	2.004	-2.75822E-5	2.004	-1.02282E-4			--	--				
2.104	0.103093	2.104	-3.25444E-5	2.104	-1.13756E-4			--	--				
2.204	0.107998	2.204	-4.09486E-5	2.204	-1.25812E-4			--	--				
2.304	0.112931	2.304	-4.67005E-5	2.304	-1.41339E-4			--	--				
2.404	0.11784	2.404	-5.28696E-5	2.404	-1.5533E-4			--	--				
2.5	0.122559	2.5	-6.21979E-5	2.5	-1.71573E-4			--	--				
